Dataset;Fold;Method;Accuracy;Precision;Recall;F-Measure;Seconds;Precision by Class;Recall by Class;F-Measure by Class
iris;0;MultiSemiAdaBoost;93.33333333333333;0.9444444444444445;0.9333333333333333;0.9326599326599326;1.402;1.0;1.0;0.8333333333333334;1.0;0.8;1.0;1.0;0.888888888888889;0.9090909090909091
iris;1;MultiSemiAdaBoost;86.66666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.408;1.0;0.8;0.8;1.0;0.8;0.8;1.0;0.8000000000000002;0.8000000000000002
iris;2;MultiSemiAdaBoost;93.33333333333333;0.9444444444444445;0.9333333333333333;0.9326599326599326;0.481;1.0;1.0;0.8333333333333334;1.0;0.8;1.0;1.0;0.888888888888889;0.9090909090909091
iris;3;MultiSemiAdaBoost;80.0;0.8222222222222222;0.8;0.8053872053872053;0.375;1.0;0.6666666666666666;0.8;0.8;0.8;0.8;0.888888888888889;0.7272727272727272;0.8000000000000002
iris;4;MultiSemiAdaBoost;93.33333333333333;0.9444444444444445;0.9333333333333333;0.9326599326599326;0.431;1.0;1.0;0.8333333333333334;1.0;0.8;1.0;1.0;0.888888888888889;0.9090909090909091
iris;5;MultiSemiAdaBoost;86.66666666666667;0.8666666666666667;0.8666666666666667;0.8666666666666667;0.413;1.0;0.8;0.8;1.0;0.8;0.8;1.0;0.8000000000000002;0.8000000000000002
iris;6;MultiSemiAdaBoost;93.33333333333333;0.9444444444444445;0.9333333333333333;0.9326599326599326;0.367;1.0;0.8333333333333334;1.0;0.8;1.0;1.0;0.888888888888889;0.9090909090909091;1.0
iris;7;MultiSemiAdaBoost;100.0;1.0;1.0;1.0;0.36;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
iris;8;MultiSemiAdaBoost;93.33333333333333;0.9444444444444445;0.9333333333333333;0.9326599326599326;0.448;1.0;0.8333333333333334;1.0;1.0;1.0;0.8;1.0;0.9090909090909091;0.888888888888889
iris;9;MultiSemiAdaBoost;100.0;1.0;1.0;1.0;0.376;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
iris;-;MultiSemiAdaBoost;92.0;0.9277777777777778;0.9200000000000002;0.92020202020202;0.5061000000000001
